house_lord,house,nature,description
house1lord,house1,Bad, If the ghataka element happens to be Moon then the injury is on reputation 
house1lord,house1,Bad, If the ghataka element happens to be Tithi or Nakshatra the injury is more mental and emotional. 
house1lord,house1,Bad, If the ghataka element happens to be Weekday or the Lagna the injury is more physical 
house1lord,house1,Bad, If the ghataka element happens to be Tithi or Nakshatra the injury is more mental and emotional. 
house1lord,house1,Bad, If the ghataka element happens to be Weekday or the Lagna the injury is more physical 
house1lord,house1,Bad, Mad 
house1lord,house1,Good, Definition If planets other than the Moon occupy the 2nd from the Sun Vesi Yoga is formed. Results The person will be fortunate happy virtuous famous and aristocratic. 
house1lord,house1,Good, Definition Planets other than the Moon occupying the l2th from the Sun gives rise to Vasi Yoga. Results The subject will be happy prosperous liberal and the favourite of the ruling classes 
house1lord,house1,Good, DefinitionIf planets other than the Moon are present on either side of the Sun Obhayachari is caused ResultsThe person will be an eloquent speaker. He will have well-proportioned limbs will take delight in everything will be liked by all. Wealthy and famous. 
house1lord,house1,Good, Definition Jupiter should occupy a Kendra which should be his own house or exaltation sign. Results His legs will have the markings of a conch lotus fish and ankusa. He will possess a handsome body he will be liked by others he will be righteous in disposition and pure in mind. 
house1lord,house1,Good, Definition Venus should occupy a quadrant which should be his own or exaltation sign. Results The person will have a well-developed physique will be strong-minded wealthy happy with children and wife will command vehicles endowed with clean sense-organs and renowned and learned. 
house1lord,house1,Bad, Definition Sasa Yoga is given rise to if Saturn occupies a Kendra which should be his own or exaltation sign. Results One born in this yoga will command good servants. His character will be questionable. He will be head of a village or a town or even a king will covet others riches and will be wicked in disposition. 
house1lord,house1,Good, Definition Mars should be exalted in a Kendra or occupy a Kendra which should be his own sign. Results The person born in Ruchaka will have a strong physique famous well-versed in ancient lore King or an equal to a King conforming to traditions and customs. He will have a ruddy complexion attractive body charitable disposition wealthy long-lived and leader of an army. 
house1lord,house1,Good, DefinitionBhadra Yoga is caused by the disposition of Mercury in a Kendra which should be identical with his own or exaltation sign. Results The person born in Bhadra Yoga will be strong will have a lion-like face well-developed chest well-proportioned limbs will be taciturn will help relatives and will live upto a good old age. 
house1lord,house1,Good, Definition If Mercury combines with the Sun the combination goes under the name of Budha Aditya Yoga. Results Highly intelligent skilful in all works good reputation personal respect and surrounded by all comforts and happiness. 
house1lord,house1,Good, Definition In the case of a man when the birth is during daytime the Sun the Moon and the Lagna should be in odd signs. In the case of women when the birth is during night the Sun the Moon and Lagna must be in even signs. Results A male born under this Yoga will have good character will be a source of pleasure to others will be liberal generous famous a ruler or an equal to him and lives to a good old age. A female born in this combination will be blessed with long-lived children and wealth and she will be of good conduct. 
house1lord,house1,Good, Definition The lord of the sign occupied by the Moon who should be associated with lord of Lagna should be in a Kendra or in the house of an intimate friend aspecting Lagna and at the same time Lagna should be occupied by a powerful planet. Results Wealthy sweet speech famous honored by the king and a lord 
house1lord,house1,Good, Definition If the lord of Lagna is powerful and the lord of the 9th occupies own or exaltation sign identical with a Kendra or Thrikona Lakshmi Yoga is caused. Results The person will be wealthy noble learned a man of high integrity and reputation handsome appearance a good ruler and enjoying all the pleasures and comforts of life. 
house1lord,house1,Good, Definition The lord of the Navamsa occupied by the lord of the 10th should join the 10th in exaltation and combined with the lord of Lagna. Results The person belongs to a respectable family owns several lands charitable performs religious rites his sons will be of good character and he will be praised by all. 
house1lord,house1,Good, Definition The lord of the Navamsa occupied by the lords of the 2nd 5th and 11th should be exalted and combined with the 9th lord. Results World famous a reputed scholar fond of music romantic handsome attractive religiously inclined and bewitching eyes. 
house1lord,house1,Good, Definition If the Ascendant lord is exalted and the 4th and 10th lords have interchanged houses Chapa Yoga is caused. Results The person will grace a Kings Council be wealthy and full of strength and an Exchequer or a Controller of treasury. 
